Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Procedure Type","Application type","Decision level",App_pc,Applied
2000,Thailand,Afghanistan,THA,AFG,U,V,FI,P,25
2000,Thailand,Cambodia,THA,KHM,U,V,AR,P,14
2000,Thailand,Cambodia,THA,KHM,U,V,FI,P,102
2000,Thailand,China,THA,CHN,U,V,AR,P,27
2000,Thailand,China,THA,CHN,U,V,FI,P,43
2000,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,V,AR,P,18
2000,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,V,FI,P,56
2000,Thailand,Iraq,THA,IRQ,U,V,AR,P,49
2000,Thailand,Iraq,THA,IRQ,U,V,FI,P,116
2000,Thailand,"Dem. People's Rep. of Korea",THA,PRK,U,V,FI,P,24
2000,Thailand,"Sri Lanka",THA,LKA,U,V,AR,P,8
2000,Thailand,"Sri Lanka",THA,LKA,U,V,FI,P,38
2000,Thailand,Myanmar,THA,MMR,U,V,AR,P,319
2000,Thailand,Myanmar,THA,MMR,U,V,FI,P,479
2000,Thailand,Somalia,THA,SOM,U,V,FI,P,19
2000,Thailand,"Unknown ",THA,UNK,U,V,AR,P,32
2000,Thailand,"Unknown ",THA,UNK,U,V,FI,P,179
2001,Thailand,Afghanistan,THA,AFG,U,V,FA,P,21
2001,Thailand,Cambodia,THA,KHM,U,V,FA,P,45
2001,Thailand,China,THA,CHN,U,V,FA,P,63
2001,Thailand,"State of Palestine",THA,PSE,U,V,FA,P,10
2001,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,V,FA,P,42
2001,Thailand,Iraq,THA,IRQ,U,V,FA,P,116
2001,Thailand,"Dem. People's Rep. of Korea",THA,PRK,U,V,FA,P,76
2001,Thailand,"Sri Lanka",THA,LKA,U,V,FA,P,28
2001,Thailand,Myanmar,THA,MMR,U,V,FA,P,848
2001,Thailand,"Unknown ",THA,UNK,U,V,FA,P,204
2002,Thailand,Afghanistan,THA,AFG,U,V,FA,P,15
2002,Thailand,Cambodia,THA,KHM,U,V,FA,P,60
2002,Thailand,China,THA,CHN,U,V,FA,P,61
2002,Thailand,"State of Palestine",THA,PSE,U,V,FA,P,8
2002,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,V,FA,P,67
2002,Thailand,Iraq,THA,IRQ,U,V,FA,P,134
2002,Thailand,"Dem. People's Rep. of Korea",THA,PRK,U,V,FA,P,169
2002,Thailand,"Sri Lanka",THA,LKA,U,V,FA,P,83
2002,Thailand,Myanmar,THA,MMR,U,V,FA,P,1659
2002,Thailand,"Viet Nam",THA,VNM,U,V,FA,P,43
2002,Thailand,"Unknown ",THA,UNK,U,V,FA,P,735
2003,Thailand,Bangladesh,THA,BGD,U,V,FA,P,5
2003,Thailand,Cambodia,THA,KHM,U,V,FA,P,70
2003,Thailand,China,THA,CHN,U,V,FA,P,60
2003,Thailand,Cameroon,THA,CMR,U,V,FA,P,12
2003,Thailand,Congo,THA,COG,U,V,FA,P,36
2003,Thailand,"Dem. Rep. of the Congo",THA,COD,U,V,FA,P,15
2003,Thailand,Ethiopia,THA,ETH,U,V,FA,P,5
2003,Thailand,"State of Palestine",THA,PSE,U,V,FA,P,12
2003,Thailand,Germany,THA,DEU,U,V,FA,P,5
2003,Thailand,Ghana,THA,GHA,U,V,FA,P,5
2003,Thailand,Guinea,THA,GIN,U,V,FA,P,6
2003,Thailand,"Cote d'Ivoire",THA,CIV,U,V,FA,P,19
2003,Thailand,India,THA,IND,U,V,FA,P,13
2003,Thailand,Indonesia,THA,IDN,U,V,FA,P,6
2003,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,V,FA,P,54
2003,Thailand,Iraq,THA,IRQ,U,V,FA,P,103
2003,Thailand,Kenya,THA,KEN,U,V,FA,P,5
2003,Thailand,"Dem. People's Rep. of Korea",THA,PRK,U,V,FA,P,126
