Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Procedure Type","Dec level","Dec pc","Dec recognized","dec other","dec rejected","dec closed","dec total"
2000,Thailand,Afghanistan,THA,AFG,U,FI,P,16,0,0,5,21
2000,Thailand,Cambodia,THA,KHM,U,AR,P,0,0,13,0,13
2000,Thailand,Cambodia,THA,KHM,U,FI,P,26,5,31,17,79
2000,Thailand,China,THA,CHN,U,AR,P,5,0,19,0,24
2000,Thailand,China,THA,CHN,U,FI,P,5,0,17,10,32
2000,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,AR,P,5,0,12,0,17
2000,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,FI,P,10,0,11,12,33
2000,Thailand,Iraq,THA,IRQ,U,AR,P,5,0,39,0,44
2000,Thailand,Iraq,THA,IRQ,U,FI,P,22,0,58,50,130
2000,Thailand,"Dem. People's Rep. of Korea",THA,PRK,U,FI,P,0,0,0,28,28
2000,Thailand,"Sri Lanka",THA,LKA,U,AR,P,0,0,5,0,5
2000,Thailand,"Sri Lanka",THA,LKA,U,FI,P,10,0,14,14,38
2000,Thailand,Myanmar,THA,MMR,U,AR,P,170,0,172,0,342
2000,Thailand,Myanmar,THA,MMR,U,FI,P,289,98,183,176,746
2000,Thailand,Somalia,THA,SOM,U,AR,P,0,0,5,0,5
2000,Thailand,Somalia,THA,SOM,U,FI,P,0,0,14,5,19
2000,Thailand,"Unknown ",THA,UNK,U,AR,P,5,0,30,0,35
2000,Thailand,"Unknown ",THA,UNK,U,FI,P,26,0,57,78,161
2001,Thailand,Afghanistan,THA,AFG,U,FA,P,15,0,5,5,25
2001,Thailand,Cambodia,THA,KHM,U,FA,P,28,0,57,5,90
2001,Thailand,China,THA,CHN,U,FA,P,26,0,31,5,62
2001,Thailand,"State of Palestine",THA,PSE,U,FA,P,5,0,0,0,5
2001,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,FA,P,5,0,32,18,55
2001,Thailand,Iraq,THA,IRQ,U,FA,P,29,0,49,28,106
2001,Thailand,"Dem. People's Rep. of Korea",THA,PRK,U,FA,P,0,0,0,62,62
2001,Thailand,"Sri Lanka",THA,LKA,U,FA,P,5,0,13,5,23
2001,Thailand,Myanmar,THA,MMR,U,FA,P,480,0,269,95,844
2001,Thailand,"Unknown ",THA,UNK,U,FA,P,55,0,76,68,199
2002,Thailand,Afghanistan,THA,AFG,U,FA,P,0,0,11,5,16
2002,Thailand,Cambodia,THA,KHM,U,FA,P,19,0,32,0,51
2002,Thailand,China,THA,CHN,U,FA,P,21,0,22,14,57
2002,Thailand,"State of Palestine",THA,PSE,U,FA,P,0,0,0,5,5
2002,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,FA,P,10,0,35,18,63
2002,Thailand,Iraq,THA,IRQ,U,FA,P,13,0,49,50,112
2002,Thailand,"Dem. People's Rep. of Korea",THA,PRK,U,FA,P,0,0,0,174,174
2002,Thailand,"Sri Lanka",THA,LKA,U,FA,P,10,0,31,22,63
2002,Thailand,Myanmar,THA,MMR,U,FA,P,455,0,465,300,1220
2002,Thailand,"Viet Nam",THA,VNM,U,FA,P,5,0,37,12,54
2002,Thailand,"Unknown ",THA,UNK,U,FA,P,24,0,261,228,513
2003,Thailand,Afghanistan,THA,AFG,U,FA,P,0,0,0,5,5
2003,Thailand,Algeria,THA,DZA,U,FA,P,0,0,5,0,5
2003,Thailand,Cambodia,THA,KHM,U,FA,P,24,0,5,5,34
2003,Thailand,China,THA,CHN,U,FA,P,0,0,18,18,36
2003,Thailand,Cameroon,THA,CMR,U,FA,P,5,0,0,14,19
2003,Thailand,Congo,THA,COG,U,FA,P,0,0,0,10,10
2003,Thailand,"Dem. Rep. of the Congo",THA,COD,U,FA,P,0,0,0,5,5
2003,Thailand,"State of Palestine",THA,PSE,U,FA,P,12,0,0,0,12
2003,Thailand,Germany,THA,DEU,U,FA,P,0,0,5,0,5
2003,Thailand,Guinea,THA,GIN,U,FA,P,0,0,0,5,5
2003,Thailand,"Cote d'Ivoire",THA,CIV,U,FA,P,0,0,0,10,10
2003,Thailand,India,THA,IND,U,FA,P,5,0,0,0,5
2003,Thailand,Indonesia,THA,IDN,U,FA,P,5,0,0,0,5
2003,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,FA,P,10,0,13,11,34
2003,Thailand,Iraq,THA,IRQ,U,FA,P,12,0,10,40,62
2003,Thailand,"Dem. People's Rep. of Korea",THA,PRK,U,FA,P,0,0,0,123,123
2003,Thailand,"Lao People's Dem. Rep.",THA,LAO,U,FA,P,5,0,0,44,49
2003,Thailand,Liberia,THA,LBR,U,FA,P,5,0,49,97,151
2003,Thailand,"Sri Lanka",THA,LKA,U,FA,P,5,0,11,70,86
2003,Thailand,Myanmar,THA,MMR,U,FA,P,657,0,161,758,1576
2003,Thailand,Nigeria,THA,NGA,U,FA,P,0,0,40,41,81
2003,Thailand,Pakistan,THA,PAK,U,FA,P,5,0,11,16,32
2003,Thailand,"Sierra Leone",THA,SLE,U,FA,P,0,0,10,18,28
2003,Thailand,Somalia,THA,SOM,U,FA,P,0,0,0,5,5
2003,Thailand,"Viet Nam",THA,VNM,U,FA,P,0,0,11,5,16
2003,Thailand,Stateless,THA,XXA,U,FA,P,0,0,0,5,5
2003,Thailand,Sudan,THA,SDN,U,FA,P,0,0,5,0,5
2004,Thailand,Cambodia,THA,KHM,U,FA,P,59,0,40,17,116
2004,Thailand,China,THA,CHN,U,FA,P,26,0,22,11,59
2004,Thailand,Cameroon,THA,CMR,U,FA,P,5,0,0,0,5
2004,Thailand,Congo,THA,COG,U,FA,P,5,0,0,25,30
2004,Thailand,"Dem. Rep. of the Congo",THA,COD,U,FA,P,25,0,0,0,25
2004,Thailand,"State of Palestine",THA,PSE,U,FA,P,0,0,0,5,5
2004,Thailand,Ghana,THA,GHA,U,FA,P,0,0,0,5,5
2004,Thailand,Guinea,THA,GIN,U,FA,P,0,0,5,0,5
2004,Thailand,"Cote d'Ivoire",THA,CIV,U,FA,P,13,0,0,0,13
2004,Thailand,India,THA,IND,U,FA,P,0,0,11,0,11
2004,Thailand,Indonesia,THA,IDN,U,FA,P,5,0,0,0,5
2004,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,FA,P,5,0,19,28,52
2004,Thailand,Iraq,THA,IRQ,U,FA,P,5,0,0,12,17
2004,Thailand,Kenya,THA,KEN,U,FA,P,0,0,0,5,5
2004,Thailand,"Dem. People's Rep. of Korea",THA,PRK,U,FA,P,0,0,0,58,58
2004,Thailand,Kuwait,THA,KWT,U,FA,P,0,0,0,5,5
2004,Thailand,"Lao People's Dem. Rep.",THA,LAO,U,FA,P,44,0,12,391,447
2004,Thailand,Liberia,THA,LBR,U,FA,P,13,0,5,42,60
2004,Thailand,"Sri Lanka",THA,LKA,U,FA,P,10,0,12,0,22
2004,Thailand,Myanmar,THA,MMR,U,FA,P,2695,0,486,394,3575
2004,Thailand,Nepal,THA,NPL,U,FA,P,5,0,10,16,31
2004,Thailand,Nigeria,THA,NGA,U,FA,P,0,0,12,54,66
2004,Thailand,Pakistan,THA,PAK,U,FA,P,0,0,11,10,21
2004,Thailand,Philippines,THA,PHL,U,FA,P,0,0,5,0,5
2004,Thailand,"Sierra Leone",THA,SLE,U,FA,P,0,0,0,16,16
2004,Thailand,Somalia,THA,SOM,U,FA,P,11,0,0,0,11
2004,Thailand,"Viet Nam",THA,VNM,U,FA,P,25,0,23,5,53
2004,Thailand,Sudan,THA,SDN,U,FA,P,5,0,0,0,5
2004,Thailand,Uganda,THA,UGA,U,FA,P,0,0,0,5,5
2005,Thailand,Egypt,THA,EGY,U,FI,P,0,0,5,0,5
2005,Thailand,Bangladesh,THA,BGD,U,FI,P,0,0,0,5,5
2005,Thailand,Cambodia,THA,KHM,U,AR,P,0,0,68,0,68
2005,Thailand,Cambodia,THA,KHM,U,FI,P,63,0,199,12,274
2005,Thailand,Cambodia,THA,KHM,U,RA,P,0,0,10,0,10
2005,Thailand,China,THA,CHN,U,AR,P,0,0,21,0,21
2005,Thailand,China,THA,CHN,U,FI,P,28,0,28,11,67
2005,Thailand,China,THA,CHN,U,RA,P,5,0,0,0,5
2005,Thailand,Cameroon,THA,CMR,U,FI,P,0,0,5,0,5
2005,Thailand,Congo,THA,COG,U,FI,P,0,0,0,5,5
2005,Thailand,"Dem. Rep. of the Congo",THA,COD,U,FI,P,13,0,13,5,31
2005,Thailand,"Dem. Rep. of the Congo",THA,COD,U,RA,P,0,0,0,5,5
2005,Thailand,Ethiopia,THA,ETH,U,FI,P,0,0,5,0,5
2005,Thailand,"State of Palestine",THA,PSE,U,FI,P,5,0,0,5,10
2005,Thailand,Guinea,THA,GIN,U,FI,P,0,0,0,5,5
2005,Thailand,"China, Hong Kong SAR",THA,HKG,U,FI,P,0,0,5,0,5
2005,Thailand,"Cote d'Ivoire",THA,CIV,U,AR,P,5,0,0,0,5
2005,Thailand,"Cote d'Ivoire",THA,CIV,U,FI,P,5,0,5,0,10
2005,Thailand,India,THA,IND,U,FI,P,5,0,5,10,20
2005,Thailand,Indonesia,THA,IDN,U,FI,P,13,0,0,0,13
2005,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,AR,P,5,0,13,0,18
2005,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,FI,P,10,0,18,5,33
2005,Thailand,"Iran (Islamic Rep. of)",THA,IRN,U,RA,P,0,0,5,0,5
2005,Thailand,Iraq,THA,IRQ,U,FI,P,0,0,0,115,115
2005,Thailand,Kenya,THA,KEN,U,FI,P,0,0,5,0,5
2005,Thailand,"Dem. People's Rep. of Korea",THA,PRK,U,FI,P,0,0,0,15,15
2005,Thailand,"Lao People's Dem. Rep.",THA,LAO,U,AR,P,5,0,5,0,10
