Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
1975,Thailand,Cambodia,THA,KHM,18830,0,0,0,0,0,0
1975,Thailand,"Lao People's Dem. Rep.",THA,LAO,55510,0,0,0,0,0,0
1975,Thailand,"Viet Nam",THA,VNM,1420,0,0,0,0,0,0
1976,Thailand,Cambodia,THA,KHM,17090,0,0,0,0,0,0
1976,Thailand,"Lao People's Dem. Rep.",THA,LAO,62720,0,0,0,0,0,0
1976,Thailand,"Viet Nam",THA,VNM,3060,0,0,0,0,0,0
1977,Thailand,Cambodia,THA,KHM,15030,0,0,0,0,0,0
1977,Thailand,"Lao People's Dem. Rep.",THA,LAO,78970,0,0,0,0,0,0
1977,Thailand,"Viet Nam",THA,VNM,3600,0,0,0,0,0,0
1978,Thailand,Cambodia,THA,KHM,15000,0,0,0,0,0,0
1978,Thailand,"Lao People's Dem. Rep.",THA,LAO,119180,0,0,0,0,0,0
1978,Thailand,"Viet Nam",THA,VNM,4770,0,0,0,0,0,0
1979,Thailand,Cambodia,THA,KHM,15410,0,0,0,0,0,0
1979,Thailand,"Lao People's Dem. Rep.",THA,LAO,128770,0,0,0,0,0,0
1979,Thailand,"Viet Nam",THA,VNM,7440,0,0,0,0,0,0
1980,Thailand,Cambodia,THA,KHM,147400,0,0,0,0,0,0
1980,Thailand,"Lao People's Dem. Rep.",THA,LAO,104940,0,0,0,0,0,0
1980,Thailand,"Viet Nam",THA,VNM,9020,0,0,0,0,0,0
1981,Thailand,Cambodia,THA,KHM,97800,0,0,0,0,0,0
1981,Thailand,"Lao People's Dem. Rep.",THA,LAO,89390,0,0,0,0,0,0
1981,Thailand,"Viet Nam",THA,VNM,5800,0,0,0,0,0,0
1982,Thailand,Cambodia,THA,KHM,83950,0,0,0,0,0,0
1982,Thailand,"Iran (Islamic Rep. of)",THA,IRN,70,0,0,0,0,0,0
1982,Thailand,"Lao People's Dem. Rep.",THA,LAO,76060,0,0,0,0,0,0
1982,Thailand,"Viet Nam",THA,VNM,8900,0,0,0,0,0,0
1983,Thailand,Cambodia,THA,KHM,56610,0,0,0,0,0,0
1983,Thailand,"Iran (Islamic Rep. of)",THA,IRN,100,0,0,0,0,0,0
1983,Thailand,"Lao People's Dem. Rep.",THA,LAO,78950,0,0,0,0,0,0
1983,Thailand,"Viet Nam",THA,VNM,8620,0,0,0,0,0,0
1983,Thailand,"Unknown ",THA,UNK,40,0,0,0,0,0,0
1984,Thailand,Cambodia,THA,KHM,41650,0,0,0,0,0,0
1984,Thailand,"Lao People's Dem. Rep.",THA,LAO,82100,0,0,0,0,0,0
1984,Thailand,"Viet Nam",THA,VNM,4750,0,0,0,0,0,0
1985,Thailand,Cambodia,THA,KHM,31760,0,0,0,0,0,0
1985,Thailand,"Lao People's Dem. Rep.",THA,LAO,93260,0,0,0,0,0,0
1985,Thailand,"Viet Nam",THA,VNM,5400,0,0,0,0,0,0
1986,Thailand,Cambodia,THA,KHM,26950,0,0,0,0,0,0
1986,Thailand,"Lao People's Dem. Rep.",THA,LAO,85820,0,0,0,0,0,0
1986,Thailand,"Viet Nam",THA,VNM,7050,0,0,0,0,0,0
1986,Thailand,"Unknown ",THA,UNK,100,0,0,0,0,0,0
1987,Thailand,Cambodia,THA,KHM,22970,0,0,0,0,0,0
1987,Thailand,"Lao People's Dem. Rep.",THA,LAO,74980,0,0,0,0,0,0
1987,Thailand,"Viet Nam",THA,VNM,14540,0,0,0,0,0,0
1987,Thailand,"Unknown ",THA,UNK,250,0,0,0,0,0,0
1988,Thailand,Cambodia,THA,KHM,17178,0,0,0,0,0,0
1988,Thailand,"Lao People's Dem. Rep.",THA,LAO,76231,0,0,0,0,0,0
1988,Thailand,"Viet Nam",THA,VNM,14120,0,0,0,0,0,0
1988,Thailand,"Unknown ",THA,UNK,270,0,0,0,0,0,0
1989,Thailand,Cambodia,THA,KHM,17230,0,0,0,0,0,0
1989,Thailand,"Lao People's Dem. Rep.",THA,LAO,68741,0,0,0,0,0,0
1989,Thailand,"Viet Nam",THA,VNM,13574,0,0,0,0,0,0
1989,Thailand,"Unknown ",THA,UNK,390,0,0,0,0,0,0
1990,Thailand,Cambodia,THA,KHM,15097,0,0,0,0,0,0
1990,Thailand,"Lao People's Dem. Rep.",THA,LAO,67420,0,0,0,0,0,0
1990,Thailand,"Viet Nam",THA,VNM,15778,0,0,0,0,0,0
1990,Thailand,"Unknown ",THA,UNK,1526,0,0,0,0,0,0
1991,Thailand,Cambodia,THA,KHM,14975,0,0,0,0,0,0
1991,Thailand,"Lao People's Dem. Rep.",THA,LAO,57298,0,0,0,0,0,0
1991,Thailand,"Viet Nam",THA,VNM,13708,0,0,0,0,0,0
1991,Thailand,"Unknown ",THA,UNK,2183,0,0,0,0,0,0
1992,Thailand,Cambodia,THA,KHM,7128,0,0,0,0,0,0
1992,Thailand,"Lao People's Dem. Rep.",THA,LAO,40871,0,0,0,0,0,0
1992,Thailand,"Viet Nam",THA,VNM,12649,0,0,0,0,0,0
1992,Thailand,"Unknown ",THA,UNK,2977,0,0,0,0,0,0
1993,Thailand,Afghanistan,THA,AFG,32,0,0,0,0,0,0
