Year,"Country of Asylum","Country of Origin","Country of Resettlement","Country of Asylum ISO","Country of Origin ISO","Country of Resettlement ISO",Total
2003,Thailand,Indonesia,Denmark,THA,IDN,DNK,5
2003,Thailand,Iraq,"New Zealand",THA,IRQ,NZL,17
2003,Thailand,Myanmar,Australia,THA,MMR,AUS,12
2003,Thailand,Myanmar,Canada,THA,MMR,CAN,22
2003,Thailand,Myanmar,"Netherlands (Kingdom of the)",THA,MMR,NLD,5
2003,Thailand,Myanmar,Norway,THA,MMR,NOR,22
2003,Thailand,Myanmar,"New Zealand",THA,MMR,NZL,7
2003,Thailand,Myanmar,"United States of America",THA,MMR,USA,188
2003,Thailand,"Unknown ",Canada,THA,UNK,CAN,21
2003,Thailand,"Unknown ",Denmark,THA,UNK,DNK,82
2003,Thailand,"Unknown ","United Kingdom of Great Britain and Northern Ireland",THA,UNK,GBR,1
2003,Thailand,"Unknown ","Netherlands (Kingdom of the)",THA,UNK,NLD,2
2003,Thailand,"Unknown ",Norway,THA,UNK,NOR,22
2003,Thailand,"Unknown ","New Zealand",THA,UNK,NZL,15
2003,Thailand,"Unknown ",Sweden,THA,UNK,SWE,10
2003,Thailand,"Unknown ","United States of America",THA,UNK,USA,21
2004,Thailand,"Lao People's Dem. Rep.",Australia,THA,LAO,AUS,14
2004,Thailand,"Lao People's Dem. Rep.","United States of America",THA,LAO,USA,7006
2004,Thailand,Myanmar,Australia,THA,MMR,AUS,17
2004,Thailand,Myanmar,Canada,THA,MMR,CAN,31
2004,Thailand,Myanmar,Norway,THA,MMR,NOR,146
2004,Thailand,Myanmar,"New Zealand",THA,MMR,NZL,7
2004,Thailand,Myanmar,Sweden,THA,MMR,SWE,21
2004,Thailand,Myanmar,"United States of America",THA,MMR,USA,1222
2004,Thailand,"Unknown ",Canada,THA,UNK,CAN,14
2004,Thailand,"Unknown ",Denmark,THA,UNK,DNK,9
2004,Thailand,"Unknown ",Finland,THA,UNK,FIN,27
2004,Thailand,"Unknown ","Netherlands (Kingdom of the)",THA,UNK,NLD,16
2004,Thailand,"Unknown ",Norway,THA,UNK,NOR,16
2004,Thailand,"Unknown ",Sweden,THA,UNK,SWE,20
2004,Thailand,"Unknown ","United States of America",THA,UNK,USA,19
2005,Thailand,"Dem. Rep. of the Congo",Sweden,THA,COD,SWE,5
2005,Thailand,"Lao People's Dem. Rep.","United States of America",THA,LAO,USA,7822
2005,Thailand,Myanmar,Australia,THA,MMR,AUS,288
2005,Thailand,Myanmar,Canada,THA,MMR,CAN,6
2005,Thailand,Myanmar,Denmark,THA,MMR,DNK,59
2005,Thailand,Myanmar,Finland,THA,MMR,FIN,72
2005,Thailand,Myanmar,Norway,THA,MMR,NOR,277
2005,Thailand,Myanmar,Sweden,THA,MMR,SWE,317
2005,Thailand,Myanmar,"United States of America",THA,MMR,USA,1313
2005,Thailand,"Viet Nam","United States of America",THA,VNM,USA,7
2005,Thailand,"Unknown ",Australia,THA,UNK,AUS,11
2005,Thailand,"Unknown ",Canada,THA,UNK,CAN,4
2005,Thailand,"Unknown ",Denmark,THA,UNK,DNK,14
2005,Thailand,"Unknown ",Finland,THA,UNK,FIN,16
2005,Thailand,"Unknown ","United Kingdom of Great Britain and Northern Ireland",THA,UNK,GBR,55
2005,Thailand,"Unknown ","Netherlands (Kingdom of the)",THA,UNK,NLD,1
2005,Thailand,"Unknown ",Norway,THA,UNK,NOR,17
2005,Thailand,"Unknown ","New Zealand",THA,UNK,NZL,2
2005,Thailand,"Unknown ",Sweden,THA,UNK,SWE,13
2005,Thailand,"Unknown ","United States of America",THA,UNK,USA,21
2006,Thailand,"Dem. Rep. of the Congo",Canada,THA,COD,CAN,16
2006,Thailand,Myanmar,Australia,THA,MMR,AUS,746
2006,Thailand,Myanmar,Canada,THA,MMR,CAN,432
2006,Thailand,Myanmar,Finland,THA,MMR,FIN,206
2006,Thailand,Myanmar,"United Kingdom of Great Britain and Northern Ireland",THA,MMR,GBR,81
2006,Thailand,Myanmar,"Netherlands (Kingdom of the)",THA,MMR,NLD,115
2006,Thailand,Myanmar,Norway,THA,MMR,NOR,299
2006,Thailand,Myanmar,"New Zealand",THA,MMR,NZL,177
2006,Thailand,Myanmar,Sweden,THA,MMR,SWE,318
2006,Thailand,Myanmar,"United States of America",THA,MMR,USA,2149
2006,Thailand,"Viet Nam","New Zealand",THA,VNM,NZL,7
2006,Thailand,"Unknown ",Australia,THA,UNK,AUS,8
2006,Thailand,"Unknown ",Belgium,THA,UNK,BEL,5
2006,Thailand,"Unknown ",Canada,THA,UNK,CAN,19
2006,Thailand,"Unknown ",Denmark,THA,UNK,DNK,2
2006,Thailand,"Unknown ",Norway,THA,UNK,NOR,28
2006,Thailand,"Unknown ","New Zealand",THA,UNK,NZL,18
2006,Thailand,"Unknown ",Sweden,THA,UNK,SWE,9
2006,Thailand,"Unknown ","United States of America",THA,UNK,USA,67
2007,Thailand,"Dem. Rep. of the Congo",Canada,THA,COD,CAN,10
2007,Thailand,"Dem. Rep. of the Congo","New Zealand",THA,COD,NZL,5
2007,Thailand,Myanmar,Australia,THA,MMR,AUS,1451
2007,Thailand,Myanmar,Canada,THA,MMR,CAN,1507
2007,Thailand,Myanmar,Finland,THA,MMR,FIN,347
2007,Thailand,Myanmar,"United Kingdom of Great Britain and Northern Ireland",THA,MMR,GBR,111
2007,Thailand,Myanmar,Ireland,THA,MMR,IRL,97
2007,Thailand,Myanmar,"Netherlands (Kingdom of the)",THA,MMR,NLD,55
2007,Thailand,Myanmar,Norway,THA,MMR,NOR,405
2007,Thailand,Myanmar,"New Zealand",THA,MMR,NZL,139
2007,Thailand,Myanmar,Sweden,THA,MMR,SWE,162
2007,Thailand,Myanmar,"United States of America",THA,MMR,USA,10060
2007,Thailand,Somalia,Sweden,THA,SOM,SWE,5
2007,Thailand,"Viet Nam",Canada,THA,VNM,CAN,6
2007,Thailand,"Viet Nam",Sweden,THA,VNM,SWE,8
2007,Thailand,"Viet Nam","United States of America",THA,VNM,USA,56
2007,Thailand,"Unknown ",Canada,THA,UNK,CAN,15
2007,Thailand,"Unknown ",Denmark,THA,UNK,DNK,5
2007,Thailand,"Unknown ",Finland,THA,UNK,FIN,27
2007,Thailand,"Unknown ","Netherlands (Kingdom of the)",THA,UNK,NLD,33
2007,Thailand,"Unknown ",Norway,THA,UNK,NOR,46
2007,Thailand,"Unknown ","New Zealand",THA,UNK,NZL,5
2007,Thailand,"Unknown ",Sweden,THA,UNK,SWE,15
2007,Thailand,"Unknown ","United States of America",THA,UNK,USA,40
2008,Thailand,"Dem. Rep. of the Congo",Canada,THA,COD,CAN,8
2008,Thailand,"Dem. Rep. of the Congo",Finland,THA,COD,FIN,5
2008,Thailand,"State of Palestine","Netherlands (Kingdom of the)",THA,PSE,NLD,11
2008,Thailand,Iraq,Canada,THA,IRQ,CAN,5
2008,Thailand,Iraq,"United States of America",THA,IRQ,USA,5
2008,Thailand,Myanmar,Australia,THA,MMR,AUS,1510
2008,Thailand,Myanmar,Canada,THA,MMR,CAN,686
2008,Thailand,Myanmar,Finland,THA,MMR,FIN,281
2008,Thailand,Myanmar,"United Kingdom of Great Britain and Northern Ireland",THA,MMR,GBR,29
2008,Thailand,Myanmar,"Netherlands (Kingdom of the)",THA,MMR,NLD,135
2008,Thailand,Myanmar,Norway,THA,MMR,NOR,55
2008,Thailand,Myanmar,"New Zealand",THA,MMR,NZL,24
2008,Thailand,Myanmar,Sweden,THA,MMR,SWE,131
2008,Thailand,Myanmar,"United States of America",THA,MMR,USA,13755
2008,Thailand,"Viet Nam","United States of America",THA,VNM,USA,12
2008,Thailand,"Unknown ",Australia,THA,UNK,AUS,11
2008,Thailand,"Unknown ",Canada,THA,UNK,CAN,40
